sensor_set,system,subject,test_windows,accuracy,baseline_precision,baseline_recall,baseline_f1,stress_precision,stress_recall,stress_f1,false_stress_alerts,missed_stress_windows,tuned_threshold,tuned_weight
TEMP_only,Combined SVM + baseline,S8,66,0.9393939393939394,1.0,0.9024390243902439,0.9487179487179488,0.8620689655172413,1.0,0.9259259259259259,4,0,38.0,0.2
TEMP_only,SVM only,S9,64,0.640625,0.9090909090909091,0.4878048780487805,0.6349206349206349,0.5,0.9130434782608695,0.6461538461538461,21,2,21.5,
TEMP_only,Personalized baseline only,S9,64,0.671875,0.6612903225806451,1.0,0.7961165048543689,1.0,0.08695652173913043,0.16,0,21,42.5,0.0
TEMP_only,Combined SVM + baseline,S9,64,0.703125,0.6833333333333333,1.0,0.8118811881188119,1.0,0.17391304347826086,0.29629629629629634,0,19,41.0,0.2
ACC_only,SVM only,S10,67,0.9402985074626866,1.0,0.9024390243902439,0.9487179487179488,0.8666666666666667,1.0,0.9285714285714286,4,0,29.0,
ACC_only,Personalized baseline only,S10,67,0.7910447761194029,1.0,0.6585365853658537,0.7941176470588235,0.65,1.0,0.787878787878788,14,0,24.0,0.0
ACC_only,Combined SVM + baseline,S10,67,0.8805970149253731,1.0,0.8048780487804879,0.8918918918918919,0.7647058823529411,1.0,0.8666666666666666,8,0,28.0,0.1
ACC_only,SVM only,S11,67,0.5671641791044776,0.76,0.4523809523809524,0.5671641791044777,0.4523809523809524,0.76,0.5671641791044777,23,6,25.5,
ACC_only,Personalized baseline only,S11,67,0.7761194029850746,0.9655172413793104,0.6666666666666666,0.7887323943661971,0.631578947368421,0.96,0.7619047619047619,14,1,24.0,0.0
ACC_only,Combined SVM + baseline,S11,67,0.8059701492537313,0.967741935483871,0.7142857142857143,0.821917808219178,0.6666666666666666,0.96,0.7868852459016393,12,1,27.5,0.1
ACC_only,SVM only,S13,66,0.7878787878787878,1.0,0.6666666666666666,0.8,0.631578947368421,1.0,0.7741935483870968,14,0,21.5,
ACC_only,Personalized baseline only,S13,66,0.7575757575757576,0.825,0.7857142857142857,0.8048780487804876,0.6538461538461539,0.7083333333333334,0.68,9,7,25.0,0.0
ACC_only,Combined SVM + baseline,S13,66,0.8333333333333334,0.8974358974358975,0.8333333333333334,0.8641975308641975,0.7407407407407407,0.8333333333333334,0.7843137254901961,7,4,27.5,0.1
ACC_only,SVM only,S14,65,0.676923076923077,0.6666666666666666,0.975609756097561,0.7920792079207921,0.8,0.16666666666666666,0.27586206896551724,1,20,30.0,
ACC_only,Personalized baseline only,S14,65,0.6307692307692307,0.7297297297297297,0.6585365853658537,0.6923076923076923,0.5,0.5833333333333334,0.5384615384615384,14,10,24.0,0.0
ACC_only,Combined SVM + baseline,S14,65,0.6923076923076923,0.6909090909090909,0.926829268292683,0.7916666666666667,0.7,0.2916666666666667,0.4117647058823529,3,17,32.0,0.2
ACC_only,SVM only,S15,66,0.8484848484848485,0.8604651162790697,0.9024390243902439,0.8809523809523809,0.8260869565217391,0.76,0.7916666666666667,4,6,24.0,
ACC_only,Personalized baseline only,S15,66,0.8181818181818182,0.9393939393939394,0.7560975609756098,0.8378378378378378,0.696969696969697,0.92,0.793103448275862,10,2,24.0,0.0
ACC_only,Combined SVM + baseline,S15,66,0.8484848484848485,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8,0.8,0.8000000000000002,5,5,30.5,0.2
ACC_only,SVM only,S16,65,0.9230769230769231,0.9285714285714286,0.9512195121951219,0.9397590361445782,0.9130434782608695,0.875,0.8936170212765957,2,3,32.5,
ACC_only,Personalized baseline only,S16,65,0.8153846153846154,1.0,0.7073170731707317,0.8285714285714285,0.6666666666666666,1.0,0.8,12,0,24.0,0.0
ACC_only,Combined SVM + baseline,S16,65,0.9076923076923077,0.926829268292683,0.926829268292683,0.926829268292683,0.875,0.875,0.875,3,3,32.0,0.2
ACC_only,SVM only,S17,67,0.6865671641791045,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.5806451612903226,0.6923076923076923,0.631578947368421,13,8,28.5,
ACC_only,Personalized baseline only,S17,67,0.7611940298507462,0.7777777777777778,0.8536585365853658,0.8139534883720929,0.7272727272727273,0.6153846153846154,0.6666666666666667,6,10,24.0,0.0
ACC_only,Combined SVM + baseline,S17,67,0.7164179104477612,0.72,0.8780487804878049,0.7912087912087912,0.7058823529411765,0.46153846153846156,0.558139534883721,5,14,33.5,0.2
ACC_only,SVM only,S2,63,0.7936507936507936,1.0,0.675,0.8059701492537313,0.6388888888888888,1.0,0.7796610169491525,13,0,13.5,
ACC_only,Personalized baseline only,S2,63,0.7936507936507936,0.9655172413793104,0.7,0.8115942028985508,0.6470588235294118,0.9565217391304348,0.7719298245614036,12,1,24.0,0.0
ACC_only,Combined SVM + baseline,S2,63,0.9047619047619048,1.0,0.85,0.9189189189189189,0.7931034482758621,1.0,0.8846153846153846,6,0,27.5,0.1
ACC_only,SVM only,S3,64,0.828125,1.0,0.725,0.8405797101449275,0.6857142857142857,1.0,0.8135593220338984,11,0,15.5,
ACC_only,Personalized baseline only,S3,64,0.8125,0.9666666666666667,0.725,0.8285714285714285,0.6764705882352942,0.9583333333333334,0.7931034482758621,11,1,24.0,0.0
ACC_only,Combined SVM + baseline,S3,64,0.84375,1.0,0.75,0.8571428571428571,0.7058823529411765,1.0,0.8275862068965517,10,0,27.5,0.1
ACC_only,SVM only,S4,64,0.9375,1.0,0.9024390243902439,0.9487179487179488,0.8518518518518519,1.0,0.92,4,0,20.5,
ACC_only,Personalized baseline only,S4,64,0.75,1.0,0.6097560975609756,0.7575757575757575,0.5897435897435898,1.0,0.7419354838709677,16,0,24.0,0.0
ACC_only,Combined SVM + baseline,S4,64,0.75,1.0,0.6097560975609756,0.7575757575757575,0.5897435897435898,1.0,0.7419354838709677,16,0,28.0,0.1
ACC_only,SVM only,S5,65,0.8307692307692308,0.9696969696969697,0.7619047619047619,0.8533333333333334,0.6875,0.9565217391304348,0.8,10,1,21.5,
ACC_only,Personalized baseline only,S5,65,0.7076923076923077,0.7555555555555555,0.8095238095238095,0.7816091954022989,0.6,0.5217391304347826,0.5581395348837209,8,11,25.0,0.0
ACC_only,Combined SVM + baseline,S5,65,0.8769230769230769,0.925,0.8809523809523809,0.9024390243902439,0.8,0.8695652173913043,0.8333333333333333,5,3,27.0,0.1
ACC_only,SVM only,S6,65,0.7692307692307693,0.7321428571428571,1.0,0.8453608247422679,1.0,0.375,0.5454545454545454,0,15,31.0,
ACC_only,Personalized baseline only,S6,65,0.7384615384615385,0.9,0.6585365853658537,0.7605633802816902,0.6,0.875,0.711864406779661,14,3,24.0,0.0
ACC_only,Combined SVM + baseline,S6,65,0.7692307692307693,0.76,0.926829268292683,0.8351648351648352,0.8,0.5,0.6153846153846154,3,12,31.0,0.2
ACC_only,SVM only,S7,64,0.5,1.0,0.21951219512195122,0.36,0.41818181818181815,1.0,0.5897435897435896,32,0,47.0,
ACC_only,Personalized baseline only,S7,64,0.828125,0.9411764705882353,0.7804878048780488,0.8533333333333334,0.7,0.9130434782608695,0.7924528301886793,9,2,24.0,0.0
ACC_only,Combined SVM + baseline,S7,64,0.875,1.0,0.8048780487804879,0.8918918918918919,0.7419354838709677,1.0,0.8518518518518519,8,0,35.5,0.2
ACC_only,SVM only,S8,66,0.3787878787878788,0.5,0.24390243902439024,0.32786885245901637,0.32608695652173914,0.6,0.4225352112676057,31,10,28.0,
ACC_only,Personalized baseline only,S8,66,0.8181818181818182,1.0,0.7073170731707317,0.8285714285714285,0.6756756756756757,1.0,0.8064516129032258,12,0,24.0,0.0
ACC_only,Combined SVM + baseline,S8,66,0.6212121212121212,0.7352941176470589,0.6097560975609756,0.6666666666666666,0.5,0.64,0.5614035087719298,16,9,31.5,0.2
ACC_only,SVM only,S9,64,0.96875,0.975609756097561,0.975609756097561,0.975609756097561,0.9565217391304348,0.9565217391304348,0.9565217391304348,1,1,43.5,
